cnpj,ticker,ano,setor,receita_liq,ebit,ebitda,lucro_liq,pl,divida_liq,ativo_total,roe,roic,margem_liq,margem_ebitda,div_ebitda,cresc_receita,pl_multiplo,pvpa,ev_ebitda,dy,mkt_cap,label,selic_ano,var_selic_ano,ipca_ano,var_cambio_ano,pib_var_ano,risco_divida_selic,impulso_pib
61.079.117/0001-05,ALPA4.SA,2010,Industrial,2239156000.0,324225000.0,309920000.0,310452000.0,1348073000.0,-358705000.0,2246603000.0,0.2302931666163479,0.3021638929651973,0.1386468830219958,0.1384092935016586,-1.1574115900877646,,4.229672610284316,0.9740646991728092,3.0795215578471424,0.0548,1313110321.2079864,1.0,9.8025,-0.2600000000000015,0.63,-0.043568107456518,7.53,0.3009270134228206,7.53
61.079.117/0001-05,ALPA4.SA,2011,Industrial,2574700000.0,311815000.0,311815000.0,309067000.0,1489859000.0,-435021000.0,2442554000.0,0.2074471476831029,0.2680295870116114,0.1200400046607371,0.1211073134734143,-1.3951253146898,0.1498528910000018,5.253437899438339,1.0898107077687949,3.8120144677636074,0.0548,1623664291.265709,1.0,11.665,1.862499999999999,0.5,0.1257952226623455,3.97,-2.598420898609751,3.97
61.079.117/0001-05,ALPA4.SA,2012,Industrial,3006982000.0,291759000.0,291759000.0,280536000.0,1660898000.0,-318155000.0,2740729000.0,0.1689062182024422,0.2032879174643236,0.0932948717351816,0.0970271853971856,-1.0904719306002555,0.1678960655610362,7.883751797248051,1.3316147013198758,6.490018111498802,0.0548,2211676194.192779,1.0,8.530833333333334,-3.134166666666665,0.79,0.0894018552084443,1.92,3.417720775822967,1.92
61.079.117/0001-05,ALPA4.SA,2013,Industrial,3425959000.0,325399000.0,352486000.0,309763000.0,1834451000.0,-257566000.0,3361984000.0,0.16885869396348,0.1839907196004173,0.090416435222955,0.1028868121305596,-0.7307127091572432,0.1393347216577951,7.861404228702026,1.3274664507776035,6.177851483733894,0.0548,2435172158.0954256,0.0,8.178333333333335,-0.3524999999999991,0.92,0.1463665280156594,3.0,0.2575762299779276,3.0
61.079.117/0001-05,ALPA4.SA,2014,Industrial,3711162000.0,325019000.0,344532000.0,286528000.0,2100904000.0,28381000.0,3646566000.0,0.1363831950436574,0.1446473578288346,0.0772070850046427,0.0928366910417815,0.0823755122891342,0.0832476395660311,4.664333965588305,0.6361367689775858,3.961441266680848,0.0548,1336462282.492086,1.0,10.855833333333337,2.6775,0.78,0.1338683514044225,0.5,0.2205604341541569,0.5
61.079.117/0001-05,ALPA4.SA,2015,Industrial,4126254000.0,368805000.0,368805000.0,263248000.0,1931236000.0,184499000.0,3763470000.0,0.1363106321547444,0.1583084923160018,0.063798302285802,0.089380101176515,0.5002616558886133,0.1118496039784844,5.605132750565791,0.7640391885408844,4.5011292859938,0.0548,1475539986.3209434,1.0,13.366666666666667,2.5108333333333324,0.96,0.4700700248475264,-3.55,1.2560736409936593,-3.55
61.079.117/0001-05,ALPA4.SA,2016,Industrial,4054404000.0,472343000.0,472130000.0,358473000.0,2065749000.0,90556000.0,3782052000.0,0.1735317311057636,0.2059622778581753,0.0884157079560892,0.1164486814831477,0.1918031050769915,-0.0174128883001385,5.972953720131439,1.0364969988690191,4.726873189411132,0.0548,2141142638.9166772,1.0,14.079166666666667,0.7125000000000004,0.3,-0.1653605818479818,-3.28,0.1366597123673565,-3.28
61.079.117/0001-05,ALPA4.SA,2017,Industrial,3721863000.0,379417000.0,379417000.0,350562000.0,2264389000.0,27290000.0,3853454000.0,0.1548152724642276,0.1404189014785721,0.0941899258516501,0.1019427636105896,0.0719261393137366,-0.0820197000594908,10.91273236274197,1.6894576340670928,10.154735508813657,0.0548,3825589282.54755,0.0,10.079166666666667,-4.0,0.44,0.0150041422478597,1.32,-0.2877045572549464,1.32
61.079.117/0001-05,ALPA4.SA,2018,Industrial,3904509000.0,458076000.0,458076000.0,324041000.0,2469838000.0,71996000.0,3980105000.0,0.1311992932329974,0.1454060762495919,0.0829914849728864,0.1173197449410412,0.1571704258681965,0.0490738106158126,11.883291788262294,1.5590794839014956,8.563360128800246,0.0548,3850673754.360302,1.0,6.483333333333334,-3.595833333333333,0.15,0.1713422007255138,1.78,-0.5651586563510568,1.78
61.079.117/0001-05,ALPA4.SA,2019,Industrial,3712184000.0,429050000.0,444430000.0,259335000.0,2734592000.0,-287513000.0,4522040000.0,0.0948349881810522,0.1295969039789461,0.0698604918290688,0.1197219749883087,-0.6469252750714398,-0.0492571537163827,36.204637212368034,3.4334663421342064,20.47930290815081,0.0548,9389129591.469463,1.0,5.940000000000001,-0.543333333333333,1.15,0.0402343346753382,1.22,0.3514960661221487,1.22
